city,state,population
Bedford,Texas,48864
Murray,Utah,48834
Sheboygan,Wisconsin,48813
Huntington,West Virginia,48735
Covina,California,48539
Middletown,Ohio,48527
Azusa,California,48498
Newark,Ohio,48477
Parker,Colorado,48442
Roswell,New Mexico,48407
East Lansing,Michigan,48395
Antelope,California,48325
Mishawaka,Indiana,48234
Dunwoody,Georgia,48128
Stillwater,Oklahoma,48104
Alexandria,Louisiana,48044
Collierville,Tennessee,48005
Tuckahoe,Virginia,47997
East Honolulu,Hawaii,47957
Summerville,South Carolina,47919
Euclid,Ohio,47863
Portage,Michigan,47854
Coeur d'Alene,Idaho,47842
Chesterfield,Missouri,47717
Salina,Kansas,47676
Roseville,Michigan,47606
St. Louis Park,Minnesota,47486
Bel Air South,Maryland,47480
Cedar Hill,Texas,47457
Lawrence,Indiana,47415
Wauwatosa,Wisconsin,47388
Minot,North Dakota,47338
East Providence,Rhode Island,47260
Pearl City,Hawaii,47241
Ceres,California,47231
Apopka,Florida,47023
Middletown,Connecticut,46933
Mansfield,Ohio,46902
Mentor,Ohio,46896
Hattiesburg,Mississippi,46846
North Highlands,California,46841
Texas City,Texas,46811
San Luis Obispo,California,46716
Palm Springs,California,46714
Twin Falls,Idaho,46623
Glenview,Illinois,46559
Columbus,Indiana,46474
Jeffersonville,Indiana,46415
Draper,Utah,46399
Madison,Alabama,46396
San Jacinto,California,46375
Binghamton,New York,46277
Trujillo Alto,Puerto Rico,46226
Beavercreek,Ohio,46086
Potomac,Maryland,45882
Elmhurst,Illinois,45742
Kannapolis,North Carolina,45685
Lincoln,California,45675
Wylie,Texas,45655
Lacey,Washington,45644
Hilo,Hawaii,45579
Charlottesville,Virginia,45538
Maricopa,Arizona,45473
Pine Bluff,Arkansas,45404
Smyrna,Tennessee,45369
Biloxi,Mississippi,45271
Altoona,Pennsylvania,45209
West Seneca,New York,45197
Cleveland Heights,Ohio,45160
Littleton,Colorado,45072
Altadena,California,45001
Titusville,Florida,44746
Lake Ridge,Virginia,44685
Newark,California,44677
Everett,Massachusetts,44636
Strongsville,Ohio,44622
West Lafayette,Indiana,44543
Barnstable Town,Massachusetts,44498
Arlington,Massachusetts,44408
Sierra Vista,Arizona,44381
Hackensack,New Jersey,44271
Sayreville,New Jersey,44260
Keller,Texas,44250
St. Cloud,Florida,44198
Attleboro,Massachusetts,44121
Farmington,New Mexico,44067
Lombard,Illinois,44025
Cutler Bay,Florida,44002
Blacksburg,Virginia,43973
Apex,North Carolina,43893
Fort Pierce,Florida,43883
Dublin,Ohio,43874
University,Florida,43871
Haltom City,Texas,43864
York,Pennsylvania,43848
Coachella,California,43826
Danville,California,43758
North Miami Beach,Florida,43722
El Centro,California,43699
Lompoc,California,43678
Oakland Park,Florida,43660
Pittsfield,Massachusetts,43632
El Dorado Hills,California,43495
Bountiful,Utah,43428
West Babylon,New York,43359
Cleveland,Tennessee,43276
DeKalb,Illinois,43269
Freeport,New York,43217
Annandale,Virginia,43158
Bothell,Washington,43153
Jefferson City,Missouri,43143
North Lauderdale,Florida,43087
Fond du Lac,Wisconsin,43018
Hicksville,New York,42856
Bell Gardens,California,42805
Moline,Illinois,42805
Salem,Massachusetts,42804
San Bruno,California,42736
Belleville,Illinois,42729
Fairfield,Ohio,42640
Concord,New Hampshire,42634
Altamonte Springs,Florida,42557
Burlington,Vermont,42556
Bentonville,Arkansas,42499
Rancho Palos Verdes,California,42412
Arecibo,Puerto Rico,42412
Oro Valley,Arizona,42379
Danville,Virginia,42360
Burke,Virginia,42290
Beaumont,California,42191
State College,Pennsylvania,42074
Midland,Michigan,42063
Kearny,New Jersey,42029
Catonsville,Maryland,42027
Burleson,Texas,41962
Urbana,Illinois,41941
Rohnert Park,California,41928
Plainfield,Illinois,41881
Morgan Hill,California,41839
Bozeman,Montana,41761
Rockwall,Texas,41672
Hutchinson,Kansas,41661
Linden,New Jersey,41595
Waipahu,Hawaii,41590
Urbandale,Iowa,41578
Buffalo Grove,Illinois,41554
Riverton,Utah,41521
Westfield,Massachusetts,41486
Bartlett,Illinois,41475
Findlay,Ohio,41412
South Valley,New Mexico,41397
